# 0.32 1e+52 0.05 0.05 0.0 0.0 0.0 0.0 0.001 2.2 0.1 0.01 1.0 3.09e+26 0.0228
# t(s) nu(Hz) Fnu(mJy) eFnu(mJy) upperlimit Instrument
5.179544000000e+05 1.000000000000e+09 5.290495000000e-08 2.645247500000e-09 0.0 Boxfit
5.684543000000e+05 1.000000000000e+09 3.079529000000e-07 1.539764500000e-08 0.0 Boxfit
6.238779000000e+05 1.000000000000e+09 7.287676000000e-07 3.643838000000e-08 0.0 Boxfit
6.847052000000e+05 1.000000000000e+09 1.020804000000e-06 5.104020000000e-08 0.0 Boxfit
7.514631000000e+05 1.000000000000e+09 2.881162000000e-06 1.440581000000e-07 0.0 Boxfit
8.247299000000e+05 1.000000000000e+09 3.854388000000e-06 1.927194000000e-07 0.0 Boxfit
9.051400000000e+05 1.000000000000e+09 9.751165000000e-06 4.875582500000e-07 0.0 Boxfit
9.933900000000e+05 1.000000000000e+09 1.314514000000e-05 6.572570000000e-07 0.0 Boxfit
1.090244000000e+06 1.000000000000e+09 2.839204000000e-05 1.419602000000e-06 0.0 Boxfit
1.196542000000e+06 1.000000000000e+09 4.161315000000e-05 2.080657500000e-06 0.0 Boxfit
1.313203000000e+06 1.000000000000e+09 6.508620000000e-05 3.254310000000e-06 0.0 Boxfit
1.441239000000e+06 1.000000000000e+09 1.307863000000e-04 6.539315000000e-06 0.0 Boxfit
1.581758000000e+06 1.000000000000e+09 2.054357000000e-04 1.027178500000e-05 0.0 Boxfit
1.735977000000e+06 1.000000000000e+09 4.294800000000e-04 2.147400000000e-05 0.0 Boxfit
1.905233000000e+06 1.000000000000e+09 6.547709000000e-04 3.273854500000e-05 0.0 Boxfit
2.090991000000e+06 1.000000000000e+09 2.220681000000e-03 1.110340500000e-04 0.0 Boxfit
2.294860000000e+06 1.000000000000e+09 1.092359000000e-02 5.461795000000e-04 0.0 Boxfit
2.518606000000e+06 1.000000000000e+09 2.022652000000e-02 1.011326000000e-03 0.0 Boxfit
2.764167000000e+06 1.000000000000e+09 3.521340000000e-02 1.760670000000e-03 0.0 Boxfit
3.033670000000e+06 1.000000000000e+09 5.300425000000e-02 2.650212500000e-03 0.0 Boxfit
3.329449000000e+06 1.000000000000e+09 7.486937000000e-02 3.743468500000e-03 0.0 Boxfit
3.654066000000e+06 1.000000000000e+09 1.027230000000e-01 5.136150000000e-03 0.0 Boxfit
4.010333000000e+06 1.000000000000e+09 1.291000000000e-01 6.455000000000e-03 0.0 Boxfit
4.401335000000e+06 1.000000000000e+09 1.535774000000e-01 7.678870000000e-03 0.0 Boxfit
4.830460000000e+06 1.000000000000e+09 1.758157000000e-01 8.790785000000e-03 0.0 Boxfit
5.301424000000e+06 1.000000000000e+09 1.893911000000e-01 9.469555000000e-03 0.0 Boxfit
5.818306000000e+06 1.000000000000e+09 1.936487000000e-01 9.682435000000e-03 0.0 Boxfit
6.385584000000e+06 1.000000000000e+09 1.846044000000e-01 9.230220000000e-03 0.0 Boxfit
7.008170000000e+06 1.000000000000e+09 1.643982000000e-01 8.219910000000e-03 0.0 Boxfit
7.691458000000e+06 1.000000000000e+09 1.311703000000e-01 6.558515000000e-03 0.0 Boxfit
8.441366000000e+06 1.000000000000e+09 1.018108000000e-01 5.090540000000e-03 0.0 Boxfit
9.264389000000e+06 1.000000000000e+09 7.400307000000e-02 3.700153500000e-03 0.0 Boxfit
1.016766000000e+07 1.000000000000e+09 5.001348000000e-02 2.500674000000e-03 0.0 Boxfit
